"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"R28","5.6kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.6kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25908"
"R30","953","PCM_JLCPCB:R_0402","1","Resistor, small symbol","","","C852958"
"R31","470kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 470kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25790"
"RT1","RT_TP","TestPoint:TestPoint_Pad_D1.0mm","1","test point","","",""
"S1,S2","Tactile Button, 160gf","PCM_JLCPCB:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","2","None Without 50mA 5.1mm 100000 Times 160gf 12V 5.1mm 1.5mm Round Button Standing paste SPST SMD Tactile Switches ROHS","XKB Connectivity","","C318884"
"TP1","VBUS","TestPoint:TestPoint_Pad_1.0x1.0mm","1","test point","","",""
"TP2","ST_R","TestPoint:TestPoint_Pad_D1.0mm","1","test point","","",""
"TP3","12V_OUT_TP","TestPoint:TestPoint_Pad_D1.0mm","1","test point","","",""
"TPS_ST1","TPS_BST_TP","TestPoint:TestPoint_Pad_D1.0mm","1","test point","","",""
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","","","C6186"
"U2","LM66200DRLR","LM66200:SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL","1","","","",""
"U3","TPS62932","Package_TO_SOT_SMD:SOT-583-8","1","3.8-30V, 2A  Synchronous Buck Converters with pulse frequency modulation (PFM), SOT583-8","","","C3032935"
"U4","ESP32-S3-WROOM-1-N16R8","RF_Module:ESP32-S3-WROOM-1","1","RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD","","","C2913202"
"U6","SM03B-SRSS-TB(LF)(SN)(P)",":CONN-SMD_SM03B-SRSS-TB-LF-SN-P","1","","","",""
"U7,U8","AHT20_C2757850","aht20:SENSOR-SMD_L3.0-W3.0-P1.00-BR","2","","","",""
"U9","TPS22811LRPWR_C17294173","tps22811:VQFN-10_L2.0-W2.0-P0.45-TL","1","","","",""
"U10","IRS44273LTRPBF",":SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1","","","",""
